git cherry-pick aa656181aa53c92cefbec1264145c5b071e5e803
cargo fmt --all -- --check
cargo clippy -p shell --lib --tests -- -D warnings
cargo test -p shell resolve_public_control_target -- --nocapture
cargo test -p shell new_session_starts_active_attached -- --nocapture
cargo test -p shell detached_postures_enforce_pending_inbox_truth -- --nocapture
cargo test -p shell successor_attach_contract_clears_continuity_and_preserves_launch_truth -- --nocapture
cargo test -p shell host_attach_contract_knob_drift_fails_closed -- --nocapture
cargo test -p shell resolve_public_turn_target_uses_persisted_continuity_truth -- --nocapture
cargo test -p shell load_session_backfills_generalized_attach_contract_defaults_for_legacy_json -- --nocapture
cargo test -p shell persisted_attach_contract_is_explicit_baseline_domain -- --nocapture
npx gitnexus detect-changes --repo substrate --scope compare --base-ref 50a450a05f374e46c736f79f9b5c7fec5c0e54d9
git worktree add /home/azureuser/__Active_Code/atomize-hq/.worktrees/substrate-s29-shared-dispatch-contract/a4-human-caller-adoption -b codex/feat-gateway-mediated-llm-fulfillment-s29-a4-human-caller-adoption 42636f8eb68fe2e817d973a4896f5c35cfc5b12b
git worktree add /home/azureuser/__Active_Code/atomize-hq/.worktrees/substrate-s29-shared-dispatch-contract/a5-repl-dispatch-adoption -b codex/feat-gateway-mediated-llm-fulfillment-s29-a5-repl-dispatch-adoption 42636f8eb68fe2e817d973a4896f5c35cfc5b12b
